athleteID,TGFeventCount,athleteHomeID,athleteHomeName
3751343,76,632,Weymouth parkrun
7261393,73,2927,The Great Field parkrun
4027360,68,632,Weymouth parkrun
4027369,67,2927,The Great Field parkrun
5496600,67,2927,The Great Field parkrun
5581954,65,2927,The Great Field parkrun
7266742,64,263,Upton House parkrun
7296842,64,2927,The Great Field parkrun
7261421,64,2927,The Great Field parkrun
38413,64,2927,The Great Field parkrun
2795870,61,632,Weymouth parkrun
7258579,60,2927,The Great Field parkrun
1682794,60,2927,The Great Field parkrun
6233941,59,632,Weymouth parkrun
3333447,59,2927,The Great Field parkrun
7593768,58,2927,The Great Field parkrun
7591594,58,2927,The Great Field parkrun
7585948,57,2927,The Great Field parkrun
1721012,57,2927,The Great Field parkrun
7264639,57,2927,The Great Field parkrun
1567629,56,2927,The Great Field parkrun
3594099,55,2927,The Great Field parkrun
957253,55,2927,The Great Field parkrun
2913646,55,3013,Frogmary Green Farm parkrun
965265,54,2927,The Great Field parkrun
7325850,54,632,Weymouth parkrun
7094386,54,2927,The Great Field parkrun
5496724,54,632,Weymouth parkrun
1184744,53,2927,The Great Field parkrun
623469,53,2927,The Great Field parkrun
7400600,53,2927,The Great Field parkrun
1319729,53,2927,The Great Field parkrun
4026372,52,207,Weymouth junior parkrun
3703639,52,2927,The Great Field parkrun
644892,51,2927,The Great Field parkrun
1997778,50,632,Weymouth parkrun
4233993,50,632,Weymouth parkrun
7280693,50,2927,The Great Field parkrun
7310158,49,2927,The Great Field parkrun
5048211,49,2927,The Great Field parkrun
4026361,49,632,Weymouth parkrun
7318536,48,2927,The Great Field parkrun
7566683,48,2927,The Great Field parkrun
906196,48,632,Weymouth parkrun
7383189,48,2927,The Great Field parkrun
7263711,47,172,Bournemouth parkrun
7249906,46,2927,The Great Field parkrun
3365922,45,632,Weymouth parkrun
7594530,44,2927,The Great Field parkrun
830834,44,2927,The Great Field parkrun
7337511,44,2927,The Great Field parkrun
6235710,44,632,Weymouth parkrun
7115299,43,632,Weymouth parkrun
675103,43,2927,The Great Field parkrun
2756412,43,2927,The Great Field parkrun
2797125,43,632,Weymouth parkrun
7400592,43,2927,The Great Field parkrun
7258456,42,632,Weymouth parkrun
5594045,42,632,Weymouth parkrun
4132547,42,632,Weymouth parkrun
7348428,41,2927,The Great Field parkrun
4000774,41,632,Weymouth parkrun
7536590,41,2927,The Great Field parkrun
1375385,41,2927,The Great Field parkrun
3243911,40,632,Weymouth parkrun
5958729,40,632,Weymouth parkrun
154203,40,2927,The Great Field parkrun
2689808,40,632,Weymouth parkrun
7615442,39,2927,The Great Field parkrun
142340,39,2927,The Great Field parkrun
1778451,39,3013,Frogmary Green Farm parkrun
3820292,39,632,Weymouth parkrun
4321134,38,233,Poole parkrun
382784,38,947,Blandford parkrun
7288087,38,632,Weymouth parkrun
2797159,38,632,Weymouth parkrun
7391488,37,2927,The Great Field parkrun
7586708,36,2927,The Great Field parkrun
1044014,36,632,Weymouth parkrun
4805058,36,632,Weymouth parkrun
7928769,36,2927,The Great Field parkrun
7065121,35,2927,The Great Field parkrun
7502272,35,2927,The Great Field parkrun
396238,35,233,Poole parkrun
1919907,34,355,Worsley Woods parkrun
7246960,34,2927,The Great Field parkrun
7716291,34,2927,The Great Field parkrun
2110880,34,632,Weymouth parkrun
451630,34,2927,The Great Field parkrun
2771266,34,632,Weymouth parkrun
4430197,33,632,Weymouth parkrun
3658381,33,632,Weymouth parkrun
1788386,33,2927,The Great Field parkrun
3841591,33,2927,The Great Field parkrun
653437,33,3013,Frogmary Green Farm parkrun
7252794,33,2927,The Great Field parkrun
1318271,33,2927,The Great Field parkrun
7311441,33,2927,The Great Field parkrun
622142,33,2927,The Great Field parkrun
7093439,32,632,Weymouth parkrun
1156829,32,2927,The Great Field parkrun
2545774,32,632,Weymouth parkrun
4519485,32,2927,The Great Field parkrun
3364146,32,632,Weymouth parkrun
2201075,31,632,Weymouth parkrun
7286577,31,2927,The Great Field parkrun
2605360,31,632,Weymouth parkrun
4524487,31,632,Weymouth parkrun
3025957,31,632,Weymouth parkrun
2804118,30,2927,The Great Field parkrun
3913456,30,2927,The Great Field parkrun
911108,30,2927,The Great Field parkrun
7257103,30,632,Weymouth parkrun
3856243,30,2927,The Great Field parkrun
462744,30,2927,The Great Field parkrun
7115292,29,632,Weymouth parkrun
428799,29,632,Weymouth parkrun
3475698,29,632,Weymouth parkrun
1497022,29,3013,Frogmary Green Farm parkrun
5374651,29,2927,The Great Field parkrun
547112,29,632,Weymouth parkrun
4422552,29,2927,The Great Field parkrun
4645286,28,207,Weymouth junior parkrun
2647985,28,632,Weymouth parkrun
2166985,28,632,Weymouth parkrun
18362,28,2927,The Great Field parkrun
7647185,28,2927,The Great Field parkrun
4804460,28,632,Weymouth parkrun
7058412,27,632,Weymouth parkrun
5583386,27,632,Weymouth parkrun
915525,27,632,Weymouth parkrun
6051633,27,632,Weymouth parkrun
102043,27,2927,The Great Field parkrun
7087297,27,2927,The Great Field parkrun
1463256,27,632,Weymouth parkrun
5374591,27,2402,St Mary’s parkrun
3695560,27,632,Weymouth parkrun
7738029,27,2927,The Great Field parkrun
5048490,26,2096,Henstridge Airfield parkrun
7247705,26,632,Weymouth parkrun
2004438,26,632,Weymouth parkrun
1350137,26,947,Blandford parkrun
4049145,25,632,Weymouth parkrun
668166,25,2927,The Great Field parkrun
288397,25,2927,The Great Field parkrun
7387799,25,2927,The Great Field parkrun
986194,25,632,Weymouth parkrun
8000959,24,2927,The Great Field parkrun
1206292,24,2927,The Great Field parkrun
7272492,24,2927,The Great Field parkrun
1822884,24,632,Weymouth parkrun
3777822,24,3013,Frogmary Green Farm parkrun
1213428,24,632,Weymouth parkrun
2545792,23,1374,Poole junior parkrun
7311530,23,2927,The Great Field parkrun
907368,23,2096,Henstridge Airfield parkrun
2731763,23,2927,The Great Field parkrun
125948,23,1395,Tooting Common parkrun
633637,23,2927,The Great Field parkrun
6602328,23,632,Weymouth parkrun
5118542,23,632,Weymouth parkrun
7157963,23,632,Weymouth parkrun
7058354,23,632,Weymouth parkrun
973888,23,632,Weymouth parkrun
5458143,23,233,Poole parkrun
6178861,23,419,Curl Curl parkrun
1382514,23,947,Blandford parkrun
369179,23,2927,The Great Field parkrun
2756495,23,632,Weymouth parkrun
451633,23,2927,The Great Field parkrun
7726481,23,2927,The Great Field parkrun
6251469,22,2927,The Great Field parkrun
974064,22,233,Poole parkrun
460330,22,632,Weymouth parkrun
887588,22,632,Weymouth parkrun
3452059,22,2096,Henstridge Airfield parkrun
6814045,22,233,Poole parkrun
