athleteID,TGFeventCount
3751343,76
7261393,73
4027360,68
4027369,67
5496600,67
5581954,65
7266742,64
7296842,64
7261421,64
38413,64
2795870,61
7258579,60
1682794,60
6233941,59
3333447,59
7593768,58
7591594,58
7585948,57
1721012,57
7264639,57
1567629,56
3594099,55
957253,55
2913646,55
965265,54
7325850,54
7094386,54
5496724,54
1184744,53
623469,53
7400600,53
1319729,53
4026372,52
3703639,52
644892,51
1997778,50
4233993,50
7280693,50
7310158,49
5048211,49
4026361,49
7318536,48
7566683,48
906196,48
7383189,48
7263711,47
7249906,46
3365922,45
7594530,44
